kind,emd_a,pdb_a,chain_a,len_a,emd_b,pdb_b,chain_b,len_b,fident
homolog,0894,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0894/6lhp.pdb,B,254,11106,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/11106/6z6w.pdb,0,340,0.550
homolog,14148,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/14148/7qud.pdb,A,475,26089,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/26089/7trg.pdb,A,444,0.412
homolog,22497,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/22497/7jva.pdb,L,111,30491,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/30491/7cx4.pdb,N,128,0.324
homolog,22699,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/22699/7k7h.pdb,H,118,26490,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/26490/7ugn.pdb,J,106,0.316
homolog,13453,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/13453/7piu.pdb,N,134,32868,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/32868/7wwk.pdb,G,121,0.476
homolog,26124,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/26124/7ttu.pdb,F,87,4531,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/4531/6qdw.pdb,t,100,0.373
homolog,32736,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/32736/7wrv.pdb,U,237,7876,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/7876/6dfh.pdb,J,214,0.300
homolog,21927,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/21927/6ww2.pdb,K,123,26655,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/26655/7uov.pdb,D,114,0.422
homolog,0867,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0867/6lb1.pdb,B,245,25765,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/25765/7t9p.pdb,B,238,0.530
homolog,20540,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/20540/6pzy.pdb,D,216,23719,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/23719/7m8l.pdb,P,214,0.427
homolog,24899,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/24899/7s8o.pdb,B,354,32297,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/32297/7w3z.pdb,B,353,0.564
homolog,20190,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/20190/6ot0.pdb,H,239,23462,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/23462/7lo6.pdb,G,214,0.325
homolog,26163,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/26163/7ty0.pdb,N,218,32684,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/32684/7wpe.pdb,V,215,0.600
homolog,31635,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/31635/7v23.pdb,O,125,33048,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/33048/7x7u.pdb,A,119,0.464
