kind,emd_a,pdb_a,chain_a,len_a,emd_b,pdb_b,chain_b,len_b,fident
homolog,0182,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0182/6hbh.pdb,A,287,0332,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0332/6i2k.pdb,A,297,0.392
homolog,0211,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0211/6he7.pdb,A,235,0781,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0781/6kwy.pdb,D,241,0.403
homolog,0332,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0332/6i2k.pdb,B,254,0859,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0859/6lao.pdb,B,251,0.500
homolog,0854,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0854/6la3.pdb,A,285,0890,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0890/6lhk.pdb,A,297,0.393
homolog,0243,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0243/6hma.pdb,M,119,0322,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0322/6i0y.pdb,O,116,0.457
homolog,0188,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0188/6hbl.pdb,C,239,0891,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0891/6lhl.pdb,C,242,0.477
homolog,0859,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0859/6lao.pdb,B,251,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,B,254,0.532
homolog,0867,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0867/6lb1.pdb,B,245,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,B,254,0.530
homolog,0856,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0856/6la5.pdb,B,251,0887,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0887/6lha.pdb,B,254,0.532
homolog,0279,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0279/6huj.pdb,C,495,0283,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0283/6hup.pdb,A,464,0.441
