emdb_id,resolution,box,apix,pdb_id,map_path,cif_path
EMD-48304,2.85,384,0.833,9mix,data/maps/emd_48304.map,data/maps/9mix.cif
EMD-48318,2.45,400,0.825,9mjo,data/maps/emd_48318.map,data/maps/9mjo.cif
EMD-58071,2.53,320,0.8256,30ut,data/maps/emd_58071.map,data/maps/30ut.cif
EMD-58073,2.49,256,0.852,30uv,data/maps/emd_58073.map,data/maps/30uv.cif
EMD-58853,2.5,320,0.87,32fi,data/maps/emd_58853.map,data/maps/32fi.cif
EMD-64471,2.9,360,1.33,9usu,data/maps/emd_64471.map,data/maps/9usu.cif
EMD-64474,2.88,400,1.045,9usx,data/maps/emd_64474.map,data/maps/9usx.cif
EMD-64476,2.56,352,0.594,9usz,data/maps/emd_64476.map,data/maps/9usz.cif
EMD-65503,2.93,192,1.055,9w0e,data/maps/emd_65503.map,data/maps/9w0e.cif
EMD-65507,2.29,224,0.93100005,9w0k,data/maps/emd_65507.map,data/maps/9w0k.cif
EMD-65615,2.71,360,0.66,9w41,data/maps/emd_65615.map,data/maps/9w41.cif
EMD-65624,2.8,256,0.95,9w4c,data/maps/emd_65624.map,data/maps/9w4c.cif
EMD-65625,2.9,300,0.95,9w4d,data/maps/emd_65625.map,data/maps/9w4d.cif
EMD-65636,2.9,256,0.92,9w4k,data/maps/emd_65636.map,data/maps/9w4k.cif
EMD-65637,2.7,256,0.92,9w4l,data/maps/emd_65637.map,data/maps/9w4l.cif
EMD-65640,2.52,192,1.055,9w4o,data/maps/emd_65640.map,data/maps/9w4o.cif
EMD-65641,2.77,256,0.85,9w4q,data/maps/emd_65641.map,data/maps/9w4q.cif
EMD-65704,2.81,360,0.89,9w6u,data/maps/emd_65704.map,data/maps/9w6u.cif
EMD-65877,2.73,300,1.08,9wcw,data/maps/emd_65877.map,data/maps/9wcw.cif
EMD-66281,2.98,288,0.95000005,9wv3,data/maps/emd_66281.map,data/maps/9wv3.cif
EMD-67063,2.2,300,0.93,9xny,data/maps/emd_67063.map,data/maps/9xny.cif
EMD-67436,2.76,384,0.57,20zn,data/maps/emd_67436.map,data/maps/20zn.cif
EMD-68159,2.35,256,0.96,22bv,data/maps/emd_68159.map,data/maps/22bv.cif
EMD-68219,2.69,300,0.96,22et,data/maps/emd_68219.map,data/maps/22et.cif
EMD-69357,2.93,256,1.0979,23xi,data/maps/emd_69357.map,data/maps/23xi.cif
EMD-71844,2.6,324,0.8349999,9ptr,data/maps/emd_71844.map,data/maps/9ptr.cif
EMD-71845,2.4,384,0.6485,9pts,data/maps/emd_71845.map,data/maps/9pts.cif
EMD-71872,2.8,300,0.94,9pum,data/maps/emd_71872.map,data/maps/9pum.cif
EMD-71880,2.52,320,0.825,9pv0,data/maps/emd_71880.map,data/maps/9pv0.cif
EMD-72165,2.74,400,0.90625,9q2h,data/maps/emd_72165.map,data/maps/9q2h.cif
EMD-72844,2.47,400,0.935,9ye6,data/maps/emd_72844.map,data/maps/9ye6.cif
EMD-72845,2.44,400,0.935,9ye7,data/maps/emd_72845.map,data/maps/9ye7.cif
EMD-72846,2.22,400,0.935,9ye8,data/maps/emd_72846.map,data/maps/9ye8.cif
EMD-72850,2.46,400,0.935,9yeh,data/maps/emd_72850.map,data/maps/9yeh.cif
EMD-72851,2.36,400,0.935,9yei,data/maps/emd_72851.map,data/maps/9yei.cif
EMD-72853,2.68,400,0.935,9yek,data/maps/emd_72853.map,data/maps/9yek.cif
EMD-72854,2.48,400,0.935,9yel,data/maps/emd_72854.map,data/maps/9yel.cif
EMD-72860,2.19,400,0.935,9yer,data/maps/emd_72860.map,data/maps/9yer.cif
EMD-72862,2.36,400,0.935,9yet,data/maps/emd_72862.map,data/maps/9yet.cif
EMD-72863,2.39,400,0.935,9yeu,data/maps/emd_72863.map,data/maps/9yeu.cif
EMD-72866,2.47,400,0.935,9yex,data/maps/emd_72866.map,data/maps/9yex.cif
EMD-72868,2.79,320,0.93500006,9yf0,data/maps/emd_72868.map,data/maps/9yf0.cif
EMD-73392,3.0,400,0.736,9ysg,data/maps/emd_73392.map,data/maps/9ysg.cif
EMD-74045,2.5,320,1.064,9zcy,data/maps/emd_74045.map,data/maps/9zcy.cif
EMD-74050,3.0,300,1.064,9zd3,data/maps/emd_74050.map,data/maps/9zd3.cif
EMD-74513,2.6,400,0.743,9zp1,data/maps/emd_74513.map,data/maps/9zp1.cif
EMD-74582,2.18,320,0.822,9zqu,data/maps/emd_74582.map,data/maps/9zqu.cif
EMD-76990,2.9,300,1.064,13de,data/maps/emd_76990.map,data/maps/13de.cif
EMD-80447,2.88,360,0.95,25xl,data/maps/emd_80447.map,data/maps/25xl.cif
EMD-80448,2.67,360,0.95,25xm,data/maps/emd_80448.map,data/maps/25xm.cif
